##;##
@LiveGraph demo file.
Generation;Best;Average;Avg.worst-100;Avg.worst-in-Generations 100
396;1107;1256;1572;2225
397;1107;1247;1523;2225
398;1107;1254;1558;2225
399;1107;1255;1562;2225
400;1107;1246;1521;2198
401;1107;1250;1545;2198
402;1107;1243;1516;2198
403;1107;1245;1532;2198
404;1104;1242;1516;2198
405;1104;1245;1531;2198
406;1104;1246;1528;2198
407;1104;1255;1579;2198
408;1104;1251;1561;2198
409;1104;1250;1558;2198
410;1104;1244;1531;2198
411;1104;1250;1563;2198
412;1104;1240;1522;2198
413;1104;1246;1553;2198
414;1104;1239;1520;2198
415;1104;1245;1549;2198
416;1104;1241;1532;2198
417;1104;1242;1538;2198
418;1104;1234;1500;2198
419;1104;1239;1528;2198
420;1104;1241;1532;2198
421;1104;1241;1543;2198
422;1104;1242;1541;2198
423;1104;1235;1508;2198
424;1104;1238;1532;2198
425;1104;1238;1531;2198
426;1104;1235;1526;2198
427;1104;1247;1574;2198
428;1104;1232;1518;2198
429;1104;1234;1519;2198
430;1104;1242;1561;2198
431;1104;1227;1489;2198
432;1104;1230;1512;2198
433;1104;1234;1536;2198
434;1104;1237;1543;2198
435;1104;1230;1509;2198
436;1104;1227;1506;2198
437;1104;1230;1513;2198
438;1104;1235;1544;2198
439;1104;1231;1520;2198
440;1104;1233;1526;2198
441;1087;1226;1495;2198
442;1087;1237;1550;2198
443;1087;1230;1521;2198
444;1087;1228;1506;2198
445;1087;1224;1494;2198
446;1087;1230;1526;2198
447;1087;1226;1500;2198
448;1087;1229;1524;2198
449;1087;1224;1504;2198
450;1087;1233;1544;2198
451;1087;1229;1531;2198
452;1087;1218;1476;2198
453;1087;1226;1514;2198
454;1087;1233;1557;2198
455;1087;1231;1536;2198
456;1087;1229;1535;2198
457;1087;1224;1510;2198
458;1087;1222;1510;2198
459;1087;1231;1543;2198
460;1087;1227;1524;2198
461;1087;1218;1489;2198
462;1087;1229;1551;2198
463;1087;1220;1499;2198
464;1087;1222;1516;2198
465;1087;1227;1546;2198
466;1087;1216;1490;2198
467;1087;1225;1520;2198
468;1087;1218;1493;2198
